City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
211,Atar,MR,20.52,-13.05,92.37,36,94,7.36,overcast clouds,0.0,0.0
212,Camabatela,AO,-8.19,15.38,56.3,100,35,3.18,scattered clouds,0.0,0.0
213,Antigonish,CA,45.62,-62.0,71.01,93,0,1.99,clear sky,0.0,0.0
214,Lebu,CL,-37.62,-73.65,48.43,89,100,8.43,overcast clouds,0.0,0.0
215,Santa Maria,BR,-29.68,-53.81,53.6,100,21,2.24,few clouds,0.0,0.0
216,Sorong,ID,-0.88,131.25,81.55,75,0,5.28,clear sky,0.0,0.0
217,Marsa Matruh,EG,31.35,27.25,73.62,86,0,12.24,clear sky,0.0,0.0
218,Jalu,LY,29.03,21.55,75.76,50,0,14.58,clear sky,0.0,0.0
219,Vestmannaeyjar,IS,63.44,-20.27,50.58,92,100,6.08,light rain,0.0,0.0
220,Kopervik,NO,59.28,5.31,53.6,87,100,8.05,overcast clouds,0.0,0.0
221,Allapalli,IN,19.42,80.07,79.29,89,100,3.24,overcast clouds,0.0,0.0
222,Laureles,US,26.11,-97.49,90.0,66,1,18.34,clear sky,0.0,0.0
223,Kailua,US,21.4,-157.74,84.2,54,90,11.41,overcast clouds,0.0,0.0
224,Kaitangata,NZ,-46.28,169.85,46.99,64,24,8.01,few clouds,0.0,0.0
225,Pingliang,CN,35.54,106.69,68.32,65,100,6.6,overcast clouds,0.0,0.0
226,Port Lincoln,AU,-34.73,135.87,56.12,75,49,3.0,scattered clouds,0.0,0.0
227,Ishurdi,BD,24.13,89.08,82.15,88,56,7.92,broken clouds,0.0,0.0
228,Grand Gaube,MU,-20.01,57.66,72.0,74,15,8.01,few clouds,0.0,0.0
229,Rognan,NO,67.1,15.39,52.0,81,75,5.82,broken clouds,0.0,0.0
230,Krasnokamensk,RU,50.1,118.04,77.25,52,93,9.15,overcast clouds,0.0,0.0
231,Bud,US,39.45,-86.18,77.0,65,75,5.86,broken clouds,0.0,0.0
232,Namatanai,PG,-3.67,152.43,79.43,79,100,4.81,overcast clouds,0.0,0.0
233,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,61.09,84,33,5.91,scattered clouds,0.0,0.0
234,Narsaq,GL,60.92,-46.05,51.8,57,100,4.7,light rain,0.0,0.0
235,Manzhouli,CN,49.6,117.43,75.18,60,100,11.07,overcast clouds,0.0,0.0
236,Minab,IR,27.15,57.08,93.2,63,75,4.7,haze,0.0,0.0
237,Roald,NO,62.58,6.13,51.8,76,45,4.7,scattered clouds,0.0,0.0
238,Abdanan,IR,32.99,47.42,79.16,18,0,10.71,clear sky,0.0,0.0
239,Nanortalik,GL,60.14,-45.24,45.97,88,100,4.23,light rain,0.0,0.0
240,Praia Da Vitoria,PT,38.73,-27.07,68.0,88,20,9.89,few clouds,0.0,0.0
241,Berbera,SO,10.44,45.01,91.26,40,97,35.12,overcast clouds,0.0,0.0
242,Marondera,ZW,-18.19,31.55,42.8,56,0,4.7,clear sky,0.0,0.0
243,Andijon,UZ,40.78,72.34,73.99,84,98,13.0,overcast clouds,0.0,0.0
244,Pangoa,PE,-12.12,-73.0,68.58,94,12,2.17,light rain,0.0,0.0
245,Tura,IN,25.52,90.22,74.86,97,100,6.51,light rain,0.0,0.0
246,Cottonwood,US,34.74,-112.01,95.0,25,20,12.75,few clouds,0.0,0.0
247,Mount Gambier,AU,-37.83,140.77,48.2,100,0,4.59,clear sky,0.0,0.0
248,Sakaiminato,JP,35.55,133.23,68.0,100,90,14.99,light rain,0.0,0.0
249,Blagoyevo,RU,63.37,47.92,49.62,91,35,4.76,scattered clouds,0.0,0.0
250,Bubaque,GW,11.28,-15.83,79.05,85,100,14.43,moderate rain,0.0,0.0
251,Kabansk,RU,52.05,106.65,68.0,77,20,4.47,few clouds,0.0,0.0
252,Nizhniy Ufaley,RU,55.92,59.98,59.23,82,0,1.12,clear sky,0.0,0.0
253,Sinnamary,GF,5.38,-52.95,78.01,88,51,8.68,light rain,0.0,0.0
254,Buala,SB,-8.14,159.59,82.4,79,100,13.85,moderate rain,0.0,0.0
255,Acapulco,MX,16.86,-99.89,86.0,74,75,3.36,broken clouds,0.0,0.0
256,Oswego,US,43.45,-76.15,75.2,64,1,6.93,clear sky,0.0,0.0
257,Rosario Oeste,BR,-14.84,-56.43,76.8,46,0,1.66,clear sky,0.0,0.0
258,Avarua,CK,-21.21,-159.78,68.0,94,100,3.36,moderate rain,0.0,0.0
259,Nacozari,MX,25.34,-108.26,95.0,54,86,11.01,overcast clouds,0.0,0.0
260,Georgetown,MY,5.41,100.34,80.6,94,20,4.88,few clouds,0.0,0.0
261,Port Blair,IN,11.67,92.75,82.69,78,100,14.47,overcast clouds,0.0,0.0
262,Sept-Iles,CA,50.2,-66.38,68.0,88,90,4.7,overcast clouds,0.0,0.0
263,Lazarev,RU,52.23,141.51,55.65,89,99,3.11,overcast clouds,0.0,0.0
264,Northam,GB,51.03,-4.22,54.0,90,60,3.0,broken clouds,0.0,0.0
265,Hasaki,JP,35.73,140.83,72.0,93,75,3.36,broken clouds,0.0,0.0
266,Conway,US,35.09,-92.44,91.4,55,75,5.82,broken clouds,0.0,0.0
267,Luba,GQ,3.46,8.55,76.12,86,100,8.5,light rain,0.0,0.0
268,Torbay,CA,47.67,-52.73,55.99,93,90,23.04,overcast clouds,0.0,0.0
269,Montalban,FR,44.02,1.35,69.8,77,0,5.82,clear sky,0.0,0.0
270,Korla,CN,41.76,86.15,71.01,72,0,4.0,clear sky,0.0,0.0
271,Ust-Nera,RU,64.57,143.2,74.03,48,100,8.75,overcast clouds,0.0,0.0
272,Pangody,RU,65.85,74.49,56.41,90,100,11.03,overcast clouds,0.0,0.0
273,San Policarpo,PH,12.18,125.51,84.25,70,100,4.23,overcast clouds,0.0,0.0
274,Caucaia,BR,-3.74,-38.65,78.8,78,27,9.17,scattered clouds,0.0,0.0
275,Chumikan,RU,54.72,135.31,58.53,76,44,7.18,scattered clouds,0.0,0.0
276,Ancud,CL,-41.87,-73.82,37.0,77,83,1.12,broken clouds,0.0,0.0
277,Longyearbyen,SJ,78.22,15.64,46.4,75,75,2.24,broken clouds,0.0,0.0
278,Lata,PT,40.16,-8.33,72.0,73,0,2.75,clear sky,0.0,0.0
279,Chapeltown,GB,53.47,-1.47,59.0,74,90,6.64,overcast clouds,0.0,0.0
280,Ossora,RU,59.24,163.07,56.1,84,100,10.4,overcast clouds,0.0,0.0
281,Ostrovnoy,RU,68.05,39.51,47.61,91,100,7.96,overcast clouds,0.0,0.0
